Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,4.856000,4.892000,4.848000,4.864000,4.098913,21222000
2018-08-08,4.864000,4.876000,4.848000,4.864000,4.098913,22990000
2018-08-09,4.884000,4.888000,4.860000,4.880000,4.112397,17658000
2018-08-10,4.884000,4.904000,4.880000,4.880000,4.112397,11638000
2018-08-13,4.888000,4.888000,4.852000,4.876000,4.109025,16629000
2018-08-14,4.876000,4.884000,4.860000,4.880000,4.112397,16654000
2018-08-15,4.864000,4.920000,4.860000,4.896000,4.125881,25747000
2018-08-16,4.892000,4.904000,4.872000,4.896000,4.125881,25759500
2018-08-17,4.900000,4.904000,4.892000,4.900000,4.129251,18881500
2018-08-20,4.916000,4.920000,4.892000,4.900000,4.129251,22664500
2018-08-21,4.900000,4.936000,4.892000,4.936000,4.159588,24608000
2018-08-23,4.940000,5.064000,4.940000,5.064000,4.267454,29807000
2018-08-24,5.016000,5.024000,4.940000,4.980000,4.196668,38319500
2018-08-27,4.980000,5.000000,4.956000,4.996000,4.210150,26161000
2018-08-28,5.000000,5.004000,4.984000,5.000000,4.213521,32322000
2018-08-29,4.984000,5.020000,4.984000,5.008000,4.220263,34987500
2018-08-30,5.020000,5.032000,5.004000,5.024000,4.233746,33101000
2018-09-03,5.024000,5.040000,5.020000,5.024000,4.233746,18893000
2018-09-04,5.028000,5.040000,5.024000,5.036000,4.243858,28563000
2018-09-05,4.976000,5.008000,4.944000,4.996000,4.264344,35601000
2018-09-06,4.996000,5.012000,4.976000,4.996000,4.264344,23159500
2018-09-07,5.008000,5.008000,4.992000,5.000000,4.267758,21312500
2018-09-12,5.100000,5.232000,4.972000,4.984000,4.254102,51379000
2018-09-13,4.976000,5.000000,4.856000,4.984000,4.254102,39011500
2018-09-14,4.984000,4.992000,4.976000,4.988000,4.257515,24517500
2018-09-18,4.920000,4.992000,4.908000,4.980000,4.250688,23228000
2018-09-19,4.992000,5.052000,4.960000,5.012000,4.278001,25231500
2018-09-20,5.016000,5.024000,4.984000,5.004000,4.271172,23138000
2018-09-21,5.020000,5.024000,5.004000,5.012000,4.278001,48230500
2018-09-24,5.004000,5.032000,4.992000,5.000000,4.267758,16875000
2018-09-25,4.992000,5.016000,4.992000,5.000000,4.267758,22307500
2018-09-26,5.000000,5.004000,4.980000,5.000000,4.267758,38715500
2018-09-27,4.988000,5.004000,4.980000,5.000000,4.267758,53479000
2018-09-28,4.980000,5.012000,4.960000,5.000000,4.267758,24640000
2018-10-01,5.000000,5.008000,4.988000,5.000000,4.267758,12531000
2018-10-02,4.984000,5.008000,4.984000,5.004000,4.271172,22384500
2018-10-03,5.000000,5.012000,4.996000,5.000000,4.267758,13521000
2018-10-04,4.996000,5.004000,4.992000,5.000000,4.267758,32406500
2018-10-05,4.980000,5.008000,4.980000,4.996000,4.264344,15970000
2018-10-08,5.000000,5.000000,4.992000,4.996000,4.264344,5642500
2018-10-09,4.996000,5.000000,4.988000,4.992000,4.260929,16502500
2018-10-10,4.996000,5.000000,4.984000,4.996000,4.264344,39474000
2018-10-11,4.940000,4.984000,4.864000,4.980000,4.250688,36265500
2018-10-12,4.964000,5.000000,4.932000,4.996000,4.264344,30903000
2018-10-15,4.984000,5.004000,4.968000,4.996000,4.264344,17461500
2018-10-16,4.992000,5.000000,4.984000,4.996000,4.264344,27444000
2018-10-17,5.000000,5.004000,4.980000,4.996000,4.264344,42438500
2018-10-18,4.984000,5.004000,4.984000,5.004000,4.271172,41301000
2018-10-19,5.004000,5.008000,4.964000,5.000000,4.267758,25270500
2018-10-22,4.992000,5.004000,4.972000,4.996000,4.264344,24491500
