Date,Open,High,Low,Close,Adj Close,Volume
2018-08-07,5.810000,5.850000,5.800000,5.830000,4.742897,12639600
2018-08-08,5.840000,5.930000,5.830000,5.920000,4.816115,12566200
2018-08-09,5.910000,6.000000,5.880000,5.930000,4.824250,12355100
2018-08-10,5.930000,5.970000,5.880000,5.930000,4.824250,10590700
2018-08-13,5.940000,5.940000,5.830000,5.890000,4.791709,6071800
2018-08-14,5.890000,5.900000,5.820000,5.850000,4.759167,11125200
2018-08-15,5.850000,5.900000,5.840000,5.880000,4.783573,6556900
2018-08-16,5.850000,5.890000,5.800000,5.880000,4.783573,4582000
2018-08-17,5.900000,5.910000,5.890000,5.890000,4.791709,4918400
2018-08-20,5.900000,5.900000,5.860000,5.880000,4.783573,9266100
2018-08-21,5.910000,5.910000,5.860000,5.890000,4.791709,6937000
2018-08-23,5.890000,5.980000,5.870000,5.940000,4.832385,9507100
2018-08-24,5.950000,5.980000,5.910000,5.980000,4.864926,8517900
2018-08-27,5.980000,5.980000,5.890000,5.960000,4.848656,8858500
2018-08-28,5.970000,6.080000,5.940000,6.080000,4.946280,10501300
2018-08-29,6.080000,6.190000,6.010000,6.090000,4.954416,25915600
2018-08-30,6.110000,6.130000,6.070000,6.090000,4.954416,16421600
2018-09-03,6.110000,6.160000,6.050000,6.100000,4.962550,4372400
2018-09-04,6.090000,6.120000,6.070000,6.100000,4.962550,7194500
2018-09-05,6.090000,6.110000,5.870000,5.870000,4.775438,27257500
2018-09-06,5.880000,5.980000,5.840000,5.920000,4.816115,11240100
2018-09-07,5.920000,5.940000,5.880000,5.920000,4.816115,9046300
2018-09-12,5.870000,5.960000,5.840000,5.900000,4.799845,21867300
2018-09-13,5.940000,6.120000,5.900000,6.090000,4.954416,20705500
2018-09-14,6.100000,6.280000,6.100000,6.230000,5.068309,23329500
2018-09-18,6.100000,6.170000,6.010000,6.040000,4.913738,29302100
2018-09-19,6.070000,6.140000,6.070000,6.120000,4.978821,10390600
2018-09-20,6.140000,6.170000,6.110000,6.140000,4.995092,10421800
2018-09-21,6.190000,6.200000,6.140000,6.200000,5.043904,23183100
2018-09-24,6.020000,6.060000,6.020000,6.030000,5.010665,17108900
2018-09-25,6.020000,6.020000,5.990000,6.000000,4.985737,25703500
2018-09-26,6.010000,6.080000,6.000000,6.040000,5.018975,14644000
2018-09-27,6.040000,6.060000,6.010000,6.030000,5.010665,9279000
2018-09-28,6.050000,6.080000,5.940000,6.010000,4.994046,11748600
2018-10-01,6.020000,6.040000,6.000000,6.010000,4.994046,2708500
2018-10-02,6.030000,6.040000,5.980000,6.040000,5.018975,4744500
2018-10-03,6.030000,6.050000,6.010000,6.050000,5.027285,12227900
2018-10-04,6.050000,6.070000,6.020000,6.060000,5.035594,18806700
2018-10-05,6.060000,6.060000,6.020000,6.040000,5.018975,16224900
2018-10-08,6.030000,6.050000,5.970000,6.040000,5.018975,6306700
2018-10-09,6.000000,6.050000,5.980000,6.040000,5.018975,10045900
2018-10-10,6.040000,6.050000,5.770000,5.840000,4.852784,12775900
2018-10-11,5.730000,5.730000,5.570000,5.660000,4.703212,26524800
2018-10-12,5.640000,5.960000,5.620000,5.950000,4.944189,17375400
2018-10-15,5.890000,5.970000,5.860000,5.930000,4.927569,11949300
2018-10-16,5.900000,6.030000,5.880000,6.030000,5.010665,2555200
2018-10-17,6.040000,6.050000,5.970000,6.030000,5.010665,12661500
2018-10-18,6.030000,6.040000,6.000000,6.030000,5.010665,12792200
2018-10-19,6.020000,6.020000,5.920000,6.020000,5.002356,12359600
2018-10-22,6.030000,6.030000,5.890000,5.980000,4.969118,11446200
2018-10-23,5.970000,5.970000,5.750000,5.750000,4.777998,10875100
2018-10-24,5.760000,5.870000,5.680000,5.700000,4.736450,13082700
2018-10-25,5.660000,5.660000,5.500000,5.580000,4.636735,20868300
2018-10-26,5.620000,5.640000,5.560000,5.600000,4.653354,6259000
2018-10-29,5.610000,5.630000,5.580000,5.600000,4.653354,3280200
2018-10-30,5.580000,5.650000,5.560000,5.580000,4.636735,4359400
2018-10-31,5.600000,5.820000,5.580000,5.720000,4.753069,11986600
2018-11-01,5.770000,5.780000,5.650000,5.700000,4.736450,9537300
2018-11-02,5.750000,5.770000,5.660000,5.680000,4.719831,13259000
2018-11-05,5.700000,5.720000,5.600000,5.680000,4.719831,13138100
2018-11-07,5.740000,5.760000,5.600000,5.680000,4.719831,8623100
2018-11-08,5.680000,5.710000,5.650000,5.690000,4.728141,9033500
2018-11-09,5.680000,5.690000,5.560000,5.570000,4.628426,13961600
2018-11-12,5.600000,5.620000,5.480000,5.510000,4.578568,7427500
2018-11-13,5.480000,5.510000,5.410000,5.500000,4.570258,8921200
2018-11-14,5.480000,5.530000,5.470000,5.500000,4.570258,3547900
2018-11-15,5.520000,5.630000,5.510000,5.590000,4.645045,5770700
2018-11-16,5.680000,5.700000,5.620000,5.650000,4.694902,5528300
2018-11-19,5.680000,5.750000,5.630000,5.730000,4.761379,5171600
2018-11-21,5.650000,5.670000,5.600000,5.660000,4.703212,5140900
2018-11-22,5.660000,5.670000,5.580000,5.650000,4.694902,5590800
2018-11-23,5.630000,5.640000,5.620000,5.630000,4.678283,2584500
2018-11-26,5.620000,5.680000,5.590000,5.680000,4.719831,5286400
2018-11-27,5.680000,5.710000,5.620000,5.700000,4.736450,6061800
2018-11-28,5.690000,5.750000,5.660000,5.750000,4.777998,5546600
2018-11-29,5.780000,5.870000,5.780000,5.850000,4.861094,9761200
2018-11-30,5.800000,5.870000,5.750000,5.760000,4.786308,16827800
2018-12-03,5.800000,6.030000,5.800000,5.900000,4.902641,22952000
2018-12-04,5.800000,5.890000,5.740000,5.810000,4.827856,9786300
2018-12-05,5.750000,5.810000,5.720000,5.800000,4.819546,7606500
2018-12-06,5.740000,5.850000,5.720000,5.800000,4.819546,7127300
2018-12-07,5.780000,5.820000,5.740000,5.780000,4.802927,6266100
2018-12-10,5.770000,5.770000,5.640000,5.650000,4.694902,6578600
2018-12-11,5.640000,5.670000,5.510000,5.510000,4.578568,7430900
2018-12-12,5.570000,5.770000,5.540000,5.750000,4.777998,13790000
2018-12-13,5.760000,5.910000,5.740000,5.840000,4.852784,7194400
2018-12-14,5.820000,5.830000,5.750000,5.800000,4.819546,5605100
2018-12-17,5.750000,5.790000,5.670000,5.710000,4.744760,4331600
2018-12-18,5.600000,5.690000,5.580000,5.630000,4.678283,9539200
2018-12-19,5.650000,5.700000,5.600000,5.700000,4.736450,5506600
2018-12-20,5.600000,5.680000,5.600000,5.650000,4.694902,4668800
2018-12-21,5.650000,5.770000,5.600000,5.650000,4.694902,10568600
2018-12-24,5.650000,5.730000,5.620000,5.680000,4.719831,3541900
2018-12-26,5.630000,5.760000,5.610000,5.720000,4.753069,4106400
2018-12-27,5.770000,5.800000,5.730000,5.780000,4.802927,3390600
2018-12-28,5.720000,5.800000,5.720000,5.780000,4.802927,4563100
2018-12-31,5.790000,5.800000,5.710000,5.710000,4.744760,4681600
2019-01-02,5.720000,5.740000,5.620000,5.650000,4.694902,6022200
